interaction_id,recipe_id,type,user_id,timestamp,rating,difficulty_used
0032e83d-702d-42cf-a329-8babde2f20e3,synthetic_013,view,user_004,2025-10-30T03:34:06.446728,,
0056cdf9-e6e3-4dda-9889-e8ad829d6393,synthetic_015,attempt,user_005,2025-11-04T11:34:06.446728,1,medium
005dfb90-219c-4504-973c-c7a521377ff5,synthetic_012,view,user_005,2025-11-08T03:34:06.446728,,
0068f8d1-560e-4a72-ba63-6343fec0d023,synthetic_009,view,user_007,2025-11-06T16:34:06.446728,,
00f007e5-0f38-4e76-bf38-7d272dbd159e,synthetic_013,attempt,user_005,2025-11-16T11:34:06.446728,3,easy
00f0cf31-68bf-460c-a6e7-d59723fd1294,synthetic_016,view,user_001,2025-11-06T08:34:06.446728,,
01090cdf-8463-45c5-bd5c-8adf0ac2d018,synthetic_009,view,user_007,2025-11-14T22:34:06.446728,,
01192fbc-6979-408b-9098-e4477ff18abf,synthetic_012,like,user_008,2025-11-08T11:34:06.446728,,
012a424c-30d0-4d01-8827-5ae339ff3203,synthetic_008,view,user_006,2025-10-25T01:34:06.446728,,
0155990e-3c55-4876-b04a-0f92f86e3dc4,synthetic_007,like,user_005,2025-11-22T11:34:06.446728,,
016b98e8-cba6-4097-8121-b1e83c6fcd6b,candidate_recipe_001,like,user_006,2025-11-02T11:34:06.446728,,
01735283-7397-468a-8ef1-6a1e2738dfe2,synthetic_002,view,user_004,2025-11-20T20:34:06.446728,,
019921a2-8ebb-4ebb-bbe3-2f695d15c0eb,synthetic_014,view,user_009,2025-10-31T06:34:06.446728,,
01e8c1d6-6670-4e41-9540-cb013782b425,synthetic_013,view,user_010,2025-11-02T16:34:06.446728,,
01fc5618-770e-49f0-a446-b118cf2d4ee3,synthetic_011,view,user_002,2025-10-25T00:34:06.446728,,
02070be3-4df3-4481-877b-e3e5a9283305,synthetic_016,view,user_008,2025-11-23T14:34:06.446728,,
0221cee5-d3dc-499c-becb-0da08f00fdcf,synthetic_016,view,user_004,2025-10-26T20:34:06.446728,,
022202fd-3953-4c7c-b892-f3f3926d9b71,synthetic_004,view,user_010,2025-11-09T03:34:06.446728,,
02408811-17cf-45d6-8b31-2e9661cf1bf0,synthetic_013,view,user_007,2025-11-07T07:34:06.446728,,
024840b7-3f8d-4b95-a44d-1415c10adc0a,synthetic_010,view,user_008,2025-10-31T17:34:06.446728,,
025d93c1-301d-43ea-89aa-4995b108c87e,synthetic_004,like,user_007,2025-11-04T11:34:06.446728,,
026775a5-1daf-40df-8275-641dc687be92,synthetic_014,view,user_007,2025-11-22T15:34:06.446728,,
02a75775-e723-4f99-b459-9b6333e4a0f7,synthetic_006,view,user_010,2025-11-11T20:34:06.446728,,
02c4eadb-0e94-4001-998a-3b72d5f003b5,synthetic_003,view,user_001,2025-11-03T05:34:06.446728,,
02e53ad9-d81b-4f95-9db0-cac5677342e1,synthetic_004,view,user_008,2025-10-29T03:34:06.446728,,
032be23b-dd7a-4d10-93e4-3f81a01b8e8d,synthetic_001,view,user_008,2025-10-29T21:34:06.446728,,
03459b6c-7f63-4a9c-a509-a72e6872a22f,synthetic_002,view,user_010,2025-11-23T09:34:06.446728,,
03483a47-9522-4692-b049-bb5e83387ff5,synthetic_002,like,user_009,2025-11-24T11:34:06.446728,,
035b1072-f5e9-46c8-bc3e-c58c4b0bf851,candidate_recipe_001,view,user_008,2025-11-08T17:34:06.446728,,
0364add9-a56d-474b-983b-32838dd821c6,synthetic_012,view,user_006,2025-11-07T17:34:06.446728,,
036e3755-80f2-40eb-adf8-e5777dd933b4,synthetic_015,view,user_007,2025-10-27T14:34:06.446728,,
0379b5ed-bd49-45d3-aeed-742858125d7f,synthetic_010,view,user_009,2025-11-03T13:34:06.446728,,
03b46a6b-d4e8-42dc-bd56-09b1c23c5878,candidate_recipe_001,view,user_004,2025-10-25T11:34:06.446728,,
